codigo;data_publicacao;titulo;palavra;fonte;url;palavras;meio;data_investimento
2539262;09/05/2025 00:00;O Boticário reabre loja no Centro de Franca com novo visual;abertura, reforma;O Vale;https://sampi.net.br/ovale/noticias/2902049/conteudo-de-marca/2025/05/o-boticario-reabre-loja-no-centro-de-franca-com-novo-visual;abertura, reforma;Portais;15/05/2025 09:12
2542641;14/05/2025 13:44;Summit Brazil-USA: Tenho que ser otimista com o Brasil, diz dono do Hapvida;inaugura;Valor Econômico;https://valor.globo.com/brasil/summit-brazil-usa/noticia/2025/05/14/summit-brazil-usa-tenho-que-ser-otimista-com-o-brasil-diz-dono-do-hapvida.ghtml;inaugura, inauguração, investimento;Portais;15/05/2025 09:25
2532682;30/04/2025 05:05;H&M abre 1ª loja entre setembro e novembro;abertura;Valor Econômico;https://valor.globo.com/empresas/noticia/2025/04/30/h-m-abre-1a-loja-entre-setembro-e-novembro.ghtml;abertura;Portais;15/05/2025 10:05
2540647;12/05/2025 00:00;Indústria calçadista espera maior demanda dos EUA;ampliar;Valor Econômico;https://valor.globo.com/empresas/noticia/2025/05/12/industria-calcadista-espera-maior-demanda-dos-eua.ghtml;ampliar;Portais;15/05/2025 10:36
2532999;30/04/2025 00:00;Donuts da Krispy Kreme chegam ao Brasil com estreia em São Paulo;abre, comprar;Estadão;https://www.estadao.com.br/paladar/radar/donuts-da-krispy-kreme-chegam-ao-brasil-com-estreia-em-sao-paulo/;abre, comprar;Portais;15/05/2025 10:39
2540656;12/05/2025 00:00;Edson Queiroz prevê aporte de R$ 950 mi em Minalba e Nacional Gás;ampliar, investir;Valor Econômico;https://valor.globo.com/empresas/noticia/2025/05/12/edson-queiroz-preve-aporte-de-r-950-mi-em-minalba-e-nacional-gas.ghtml;ampliar, investir;Portais;15/05/2025 10:50
2541879;13/05/2025 00:00;"Stellantis detalha investimento de US$ 385 milhões na Argentina; Córdoba produzirá picapes";investimento;Valor Econômico;https://valor.globo.com/empresas/noticia/2025/05/13/stellantis-detalha-investimento-de-us-385-milhoes-na-argentina-cordoba-produzira-picapes.ghtml;investimento;Portais;15/05/2025 11:05
2534318;02/05/2025 00:00;Roblox anuncia construção de data center em SP de olho em crescimento e IA;construir, investimento;Valor Econômico;https://valor.globo.com/empresas/noticia/2025/05/02/roblox-anuncia-construcao-de-data-center-em-sp-de-olho-em-crescimento-e-ia.ghtml;construir, investimento;Portais;15/05/2025 11:26
2542238;14/05/2025 00:00;Electra e Comporte implementam projeto de autoprodução de energia;implantação;Canal Energia;https://www.canalenergia.com.br/noticias/53310895/electra-e-comporte-implementam-projeto-de-autoproducao-de-energia;implantação;Portais;15/05/2025 11:28
2538831;09/05/2025 00:00;Maria Claro inaugura novo espaço cultural;construção, inaugura, inauguração, inaugurou;Cruzeiro do Sul;https://www.jornalcruzeiro.com.br/cultura/noticias/2025/05/747187-maria-claro-inaugura-novo-espaco-cultural.html;construção, inaugura, inauguração, inaugurou;Portais;15/05/2025 11:39
2537392;07/05/2025 00:00;Taubaté registra 2 dias de filas por emprego em supermercado;instalar, abrir;Diário de São Paulo;https://diariosp.com.br/noticias/taubate-registra-2-dias-de-filas-por-emprego-em-supermercado/33150/;instalar, abrir;Portais;15/05/2025 11:56
2532940;30/04/2025 00:00;WEG mantém plano de investimento global apesar de incertezas geopolíticas;investimento;Valor Econômico;https://valor.globo.com/empresas/noticia/2025/04/30/weg-mantem-plano-de-investimento-global-apesar-de-incertezas-geopoliticas.ghtml;investimento;Portais;15/05/2025 12:14
2535254;05/05/2025 00:00;JBS investe R$ 17 milhões e gera 2 mil MWh a partir do metano em unidades da Friboi;ampliar, expandir, investimento, investimentos;Diário do Grande ABC;https://www.dgabc.com.br/Noticia/4231326/jbs-investe-r-17-milhoes-e-gera-2-mil-mwh-a-partir-do-metano-em-unidades-da-friboi;ampliar, expandir, investimento, investimentos;Portais;15/05/2025 12:31
2532359;30/04/2025 00:00;Aeroporto de Congonhas inicia obras de novo terminal de passageiros;ampliar, construção, investimento;Diário do Grande ABC;https://www.dgabc.com.br/Noticia/4230361/aeroporto-de-congonhas-inicia-obras-de-novo-terminal-de-passageiros;ampliar, construção, investimento;Portais;15/05/2025 14:06
2535349;05/05/2025 00:00;Linha 10 terá cinco estações construídas no Grande ABC;compra, construção, investimentos, concessão;Diário do Grande ABC;https://www.dgabc.com.br/Noticia/4231249/linha-10-tera-cinco-estacoes-construidas-no-grande-abc;compra, construção, investimentos, concessão;Portais;15/05/2025 14:07
2538061;08/05/2025 00:00;Aeromóvel que ligará a CPTM ao Aeroporto de Guarulhos deve começar a operar em agosto;implantação;Guarulhos Web;https://guarulhosweb.com.br/aeromovel-que-ligara-a-cptm-ao-aeroporto-de-guarulhos-deve-comecar-a-operar-em-agosto/;implantação;Portais;15/05/2025 14:29
2538033;08/05/2025 00:00;Cobrança do free flow nas pistas expressas da Dutra em Guarulhos é adiada para 2º semestre;construção, empreendimento, implantação, instalação;Guarulhos Web;https://guarulhosweb.com.br/cobranca-do-free-flow-nas-pistas-expressas-da-dutra-em-guarulhos-e-adiada-para-2o-semestre/;construção, empreendimento, implantação, instalação;Portais;15/05/2025 14:30
2541880;13/05/2025 00:00;Dr. Okamura reabre petshop com foco em inovação e especialidades;construir, inovação, reabertura;Jornal da Cidade de Bauru - JCNET;https://sampi.net.br/bauru/noticias/2902775/conteudo-de-marca/2025/05/dr-okamura-reabre-petshop-com-foco-em-inovacao-e-especialidades;construir, inovação, reabertura;Portais;15/05/2025 14:49
2533797;01/05/2025 00:00;Inauguração de loja atrai multidão e causa lentidão no trânsito;abertura, inaugura, inauguração, inaugurou, investimento;Jornal da Cidade de Bauru - JCNET;https://sampi.net.br/bauru/noticias/2900497/vale-do-paraiba/2025/05/inauguracao-de-loja-atrai-multidao-e-causa-lentidao-no-transito;abertura, inaugura, inauguração, inaugurou, investimento;Portais;15/05/2025 14:54
